claim_id,claim_type,loss_amount,fnol_date,current_stage,days_in_process,adjuster_assigned,complexity_score
CLM000001,property,78493,2025-06-24,negotiation,63,John Smith,0.37
CLM000002,auto,81181,2025-06-14,closed,53,Jane Doe,0.95
CLM000003,auto,17717,2025-02-18,investigation,39,Bob Johnson,0.73
CLM000004,auto,40040,2025-07-18,settlement,67,Alice Williams,0.6
CLM000005,liability,137736,2025-03-23,evaluation,32,Bob Johnson,0.16
CLM000006,property,88886,2025-05-25,negotiation,45,Bob Johnson,0.06
CLM000007,property,142219,2025-07-14,settlement,63,Jane Doe,0.87
CLM000008,auto,18888,2025-05-03,intake,43,Bob Johnson,0.02
CLM000009,liability,73756,2025-05-27,negotiation,47,Alice Williams,0.83
CLM000010,auto,18865,2025-04-15,intake,35,Jane Doe,0.78
CLM000011,liability,9999,2025-04-15,negotiation,35,Bob Johnson,0.87
CLM000012,auto,71880,2025-05-28,intake,48,Alice Williams,0.02
CLM000013,auto,10110,2025-07-10,settlement,60,Bob Johnson,0.97
CLM000014,liability,148212,2025-06-04,negotiation,64,Jane Doe,0.76
CLM000015,auto,68324,2025-05-28,closed,48,Bob Johnson,0.8
CLM000016,liability,66655,2025-03-08,closed,27,Bob Johnson,0.12
CLM000017,auto,73327,2025-05-16,settlement,46,Jane Doe,0.19
CLM000018,auto,136641,2025-03-07,closed,26,Alice Williams,0.34
CLM000019,auto,139986,2025-05-28,intake,48,Jane Doe,0.42
CLM000020,auto,73210,2025-07-19,settlement,68,Alice Williams,0.44
CLM000021,liability,134323,2025-06-14,closed,53,Alice Williams,0.02
CLM000022,auto,77214,2025-07-02,negotiation,62,Bob Johnson,0.19
CLM000023,auto,146986,2025-03-07,intake,26,Jane Doe,0.37
CLM000024,liability,12213,2025-05-25,closed,45,Bob Johnson,0.64
CLM000025,auto,141122,2025-06-16,settlement,57,Bob Johnson,0.52
CLM000026,property,146434,2025-04-16,closed,36,Bob Johnson,0.43
CLM000027,auto,140322,2025-05-16,intake,46,Jane Doe,0.29
CLM000028,auto,147868,2025-07-19,settlement,68,Alice Williams,0.61
CLM000029,auto,67543,2025-06-09,closed,49,Bob Johnson,0.14
CLM000030,property,142309,2025-06-11,negotiation,51,Bob Johnson,0.19
CLM000031,liability,65881,2025-07-16,settlement,66,Jane Doe,0.45
CLM000032,auto,9655,2025-06-12,closed,52,Bob Johnson,0.37
CLM000033,auto,13994,2025-04-30,intake,40,Jane Doe,0.73
CLM000034,property,68984,2025-04-19,settlement,39,Bob Johnson,0.06
CLM000035,liability,74658,2025-07-19,negotiation,68,Bob Johnson,0.26
CLM000036,liability,135872,2025-04-07,closed,27,Jane Doe,0.98
CLM000037,liability,74596,2025-07-11,settlement,61,Bob Johnson,0.13
CLM000038,liability,147985,2025-03-21,intake,31,Jane Doe,0.41
CLM000039,auto,10104,2025-05-25,closed,45,Jane Doe,0.76
CLM000040,workers_comp,67214,2025-04-13,settlement,33,Alice Williams,0.26
CLM000041,auto,70431,2025-06-23,negotiation,63,Jane Doe,0.48
CLM000042,liability,139540,2025-04-22,closed,42,Jane Doe,0.44
CLM000043,auto,13323,2025-06-08,intake,48,Bob Johnson,0.29
CLM000044,auto,64428,2025-05-29,settlement,49,Bob Johnson,0.61
CLM000045,liability,6633,2025-04-18,closed,38,Jane Doe,0.14
CLM000046,property,76105,2025-04-13,negotiation,33,Bob Johnson,0.39
CLM000047,property,141427,2025-06-30,settlement,60,Jane Doe,0.73
CLM000048,liability,73652,2025-03-07,closed,26,Jane Doe,0.06
CLM000049,auto,146875,2025-05-24,intake,44,Bob Johnson,0.67
CLM000050,liability,134533,2025-06-12,settlement,52,Bob Johnson,0.43
CLM000051,property,137984,2025-03-21,negotiation,31,Bob Johnson,0.42
CLM000052,liability,148098,2025-07-19,closed,68,Bob Johnson,0.28
CLM000053,liability,133311,2025-04-12,intake,32,Alice Williams,0.66
CLM000054,liability,67650,2025-07-09,settlement,59,Bob Johnson,0.35
CLM000055,liability,140312,2025-04-18,closed,38,Bob Johnson,0.22
CLM000056,liability,67856,2025-04-21,negotiation,41,Jane Doe,0.11
CLM000057,auto,138976,2025-06-23,intake,63,Jane Doe,0.33
CLM000058,liability,139986,2025-07-14,settlement,64,Bob Johnson,0.66
CLM000059,auto,140984,2025-03-09,closed,28,Jane Doe,0.36
CLM000060,auto,19096,2025-03-07,negotiation,26,Jane Doe,0.68
CLM000061,auto,141537,2025-03-20,intake,30,Alice Williams,0.26
CLM000062,property,138430,2025-06-29,settlement,59,Alice Williams,0.49
CLM000063,auto,132233,2025-03-09,closed,28,Bob Johnson,0.82
CLM000064,auto,9870,2025-06-13,negotiation,53,Jane Doe,0.25
CLM000065,liability,68653,2025-05-02,intake,42,Jane Doe,0.14
CLM000066,liability,133383,2025-06-30,settlement,60,Bob Johnson,0.33
CLM000067,property,133431,2025-07-19,closed,68,Jane Doe,0.55
CLM000068,auto,8677,2025-06-08,negotiation,48,Bob Johnson,0.72
CLM000069,auto,135319,2025-04-24,intake,44,Bob Johnson,0.01
CLM000070,auto,11767,2025-07-10,settlement,60,Bob Johnson,0.93
CLM000071,liability,149868,2025-04-28,closed,38,Jane Doe,0.18
CLM000072,auto,66545,2025-06-25,negotiation,65,Alice Williams,0.48
CLM000073,auto,146985,2025-04-19,intake,39,Bob Johnson,0.74
CLM000074,property,142319,2025-04-22,settlement,42,Bob Johnson,0.02
CLM000075,liability,132545,2025-04-18,closed,38,Bob Johnson,0.0
CLM000076,auto,10539,2025-05-27,negotiation,47,Bob Johnson,0.93
CLM000077,auto,132979,2025-04-26,intake,46,Jane Doe,0.79
CLM000078,property,144736,2025-05-28,settlement,48,Jane Doe,0.88
CLM000079,auto,142875,2025-04-20,closed,40,Bob Johnson,0.75
CLM000080,auto,130208,2025-07-20,negotiation,69,Jane Doe,0.3
CLM000081,auto,132979,2025-04-21,intake,41,Jane Doe,0.79
CLM000082,liability,64524,2025-05-28,settlement,48,Jane Doe,0.35
CLM000083,property,134756,2025-06-30,closed,60,Jane Doe,0.72
CLM000084,auto,70281,2025-05-29,negotiation,49,Alice Williams,0.81
CLM000085,liability,138424,2025-07-19,intake,68,Bob Johnson,0.82
CLM000086,auto,149985,2025-07-15,settlement,65,Bob Johnson,0.12
CLM000087,liability,7755,2025-06-13,closed,53,Jane Doe,0.64
CLM000088,property,73538,2025-04-19,negotiation,39,Bob Johnson,0.7
CLM000089,property,74544,2025-07-20,intake,69,Bob Johnson,0.84
CLM000090,property,5209,2025-03-11,settlement,30,Jane Doe,0.95
CLM000091,auto,133871,2025-05-29,closed,49,Bob Johnson,0.88
CLM000092,auto,13097,2025-04-21,negotiation,41,Jane Doe,0.25
CLM000093,property,65315,2025-03-13,intake,33,Bob Johnson,0.58
CLM000094,auto,73424,2025-05-28,settlement,48,Bob Johnson,0.23
CLM000095,property,149869,2025-03-16,closed,35,Jane Doe,0.02
CLM000096,property,136536,2025-07-19,negotiation,68,Bob Johnson,0.79
CLM000097,property,76993,2025-03-22,intake,32,Bob Johnson,0.56
CLM000098,auto,7323,2025-05-28,settlement,48,Bob Johnson,0.23
CLM000099,auto,146758,2025-04-15,closed,35,Alice Williams,0.9
CLM000100,liability,144425,2025-05-27,negotiation,47,Bob Johnson,0.17
