treaty_id,treaty_type,exposure_amount,retention_rate,premium_rate,risk_category,geographic_zone,loss_ratio_estimate,commission_rate
TRT000001,stop_loss,4584702,0.172,0.0991,property_cat,north_america,0.739,0.284
TRT000002,catastrophe,41835801,0.341,0.0451,aviation,asia_pacific,0.569,0.254
TRT000003,quota_share,9585377,0.05,0.0926,aviation,north_america,0.438,0.304
TRT000004,stop_loss,20435721,0.209,0.147,aviation,asia_pacific,0.75,0.254
TRT000005,stop_loss,19048957,0.187,0.0781,specialty,north_america,0.651,0.32
TRT000006,catastrophe,21546531,0.124,0.1369,marine,asia_pacific,0.591,0.26
TRT000007,quota_share,18824013,0.29,0.0708,casualty,north_america,0.808,0.262
TRT000008,quota_share,37601694,0.268,0.059,specialty,europe,0.45,0.325
TRT000009,stop_loss,45528071,0.362,0.1003,aviation,north_america,0.622,0.231
TRT000010,excess_of_loss,35119117,0.171,0.1036,property_cat,north_america,0.405,0.177
TRT000011,stop_loss,37433622,0.16,0.131,aviation,europe,0.611,0.156
TRT000012,stop_loss,23373627,0.126,0.0422,marine,global,0.425,0.301
TRT000013,stop_loss,35561725,0.148,0.0799,aviation,global,0.453,0.274
TRT000014,stop_loss,4366612,0.301,0.0901,property_cat,north_america,0.453,0.291
TRT000015,catastrophe,25584529,0.232,0.1176,marine,europe,0.692,0.193
TRT000016,quota_share,37258670,0.079,0.0161,aviation,north_america,0.736,0.177
TRT000017,catastrophe,3630708,0.164,0.1492,marine,asia_pacific,0.663,0.153
TRT000018,catastrophe,38049111,0.161,0.0758,casualty,asia_pacific,0.833,0.22
TRT000019,catastrophe,45556780,0.363,0.0491,casualty,north_america,0.569,0.268
TRT000020,stop_loss,2285160,0.371,0.1337,aviation,global,0.529,0.228
TRT000021,excess_of_loss,23857742,0.117,0.1147,marine,global,0.791,0.237
TRT000022,quota_share,39727468,0.499,0.1434,property_cat,north_america,0.501,0.331
TRT000023,excess_of_loss,1048984,0.17,0.0563,aviation,north_america,0.833,0.22
TRT000024,catastrophe,11788678,0.489,0.0874,casualty,asia_pacific,0.405,0.253
TRT000025,catastrophe,7556168,0.235,0.0901,casualty,global,0.836,0.307
TRT000026,excess_of_loss,29431703,0.065,0.1472,aviation,north_america,0.419,0.229
TRT000027,excess_of_loss,19281600,0.205,0.0205,marine,asia_pacific,0.801,0.274
TRT000028,excess_of_loss,49170987,0.335,0.0528,casualty,global,0.637,0.322
TRT000029,catastrophe,24717335,0.356,0.0367,marine,europe,0.847,0.34
TRT000030,catastrophe,13719242,0.289,0.0476,casualty,asia_pacific,0.433,0.179
TRT000031,quota_share,49715250,0.252,0.0779,casualty,global,0.649,0.335
TRT000032,quota_share,36088959,0.303,0.0664,property_cat,asia_pacific,0.777,0.229
TRT000033,excess_of_loss,48697976,0.089,0.0488,aviation,north_america,0.572,0.297
TRT000034,catastrophe,48088426,0.383,0.0622,specialty,europe,0.777,0.254
TRT000035,catastrophe,22093062,0.303,0.0869,aviation,asia_pacific,0.653,0.229
TRT000036,excess_of_loss,3287046,0.05,0.0169,property_cat,north_america,0.48,0.297
TRT000037,excess_of_loss,22148048,0.294,0.1313,aviation,north_america,0.777,0.156
TRT000038,excess_of_loss,1785046,0.144,0.0741,specialty,europe,0.591,0.241
TRT000039,catastrophe,48504046,0.383,0.0776,marine,asia_pacific,0.405,0.276
TRT000040,excess_of_loss,48714046,0.363,0.0726,casualty,global,0.653,0.226
TRT000041,stop_loss,3431046,0.298,0.0648,aviation,north_america,0.777,0.248
TRT000042,excess_of_loss,1940046,0.079,0.0585,specialty,asia_pacific,0.529,0.244
TRT000043,quota_share,48323046,0.295,0.0645,marine,europe,0.777,0.229
TRT000044,catastrophe,48428046,0.351,0.0701,casualty,north_america,0.405,0.261
TRT000045,excess_of_loss,6633046,0.39,0.07,aviation,asia_pacific,0.777,0.214
TRT000046,catastrophe,3605046,0.289,0.0739,specialty,europe,0.653,0.239
TRT000047,catastrophe,1427046,0.123,0.0773,marine,north_america,0.405,0.273
